distinct_bib,subject,out_bib,title,itemtype,deweyClass
615836,"Gays writings American Pacific Coast U S",615836,"Indivisible new short fiction",acbk,
615836,"Lesbians Fiction",615836,"Indivisible new short fiction",acbk,
615836,"Lesbians writings American Pacific Coast U S",615836,"Indivisible new short fiction",acbk,
616419,"Gay men United States Abuse of",616419,"Men who beat the men who love them battered gay men and domestic violence",acbk,362.8292
626340,"Lesbians Fiction",626340,"dear one",jcbk,
626507,"Gay politicians United States Biography",626507,"Profiles in gay lesbian courage",acbk,324.08664
626507,"Homosexuality United States",626507,"Profiles in gay lesbian courage",acbk,324.08664
629447,"Older lesbians United States",629447,"Lesbians over 60 speak for themselves",acbk,306.7663
630734,"Talese Gay Family",630734,"Unto the sons",acbk,973.0451
632143,"Bisexuality in literature",632143,"H D and Freud bisexuality and a feminine discourse",acbk,811.52
632462,"Gay men Fiction",632462,"What the dead remember",acbk,
633581,"Homosexuality Fiction",633581,"Bad boy",acbk,
635139,"Gay men United States",635139,"Gay culture in America essays from the field",acbk,306.1
703566,"Gay men Literary collections",703566,"Sexual heretics male homosexuality in English literature from 1850 to 1900",acbk,820.8
703566,"Gays writings English",703566,"Sexual heretics male homosexuality in English literature from 1850 to 1900",acbk,820.8
704635,Lesbianism,704635,"Sappho was a right on woman a liberated view of lesbianism",acbk,176
710512,"Gay John 1685 1732 Criticism and interpretation",710512,"John Gay",acbk,820
711200,"Gay John 1685 1732 Beggars opera",711200,"Beggars opera materials",acbk,822.5
711446,"Gayatri Devi Maharani of Jaipur 1919",711446,"princess remembers the memoirs of the Maharani of Jaipur",acbk,
711446,"Gayatri Devi Maharani of Jaipur 1919 2009",711446,"princess remembers the memoirs of the Maharani of Jaipur",acbk,
